pop_id,name,franchise_name,franchise_id,category_name,category_id,price,item_number,image_url,release_date
33,Freddy Krueger & Jason Voorhees (Bloody) (2 Pack),Friday the 13th,163,Pop! Vinyl Pop! Movies,5,$27.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/8720_freddykruegerjasonvoorheesbloody2pack_1477778326.jpg,Released 2016
34,Freddy Krueger (Glow in the Dark),Chase Pieces,82,Pop! Vinyl Pop! Movies,5,$55.00,2,https://cdn.poppriceguide.com/guide/itmimg/thumb/640_FreddyKruegerGlowintheDark.jpg,Released 2011
35,Freddy Krueger + Jason Voorhees,Friday the 13th,163,Vinyl Vynl,23,$17.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/11078_freddykruegerjasonvoorhees_1503117739.jpg,Released 2017
36,The Great Root Bear,Pez,319,Wacky Wobbler Pez,26,$175.00,,https://cdn.poppriceguide.com/guide/itmimg/thumb/4607_thegreatrootbear_1455221870.jpg,
37,A-Team Van (w/ B.A. Baracus),The A-Team,9,Pop! Vinyl Pop! Rides,27,$12.00,25,https://cdn.poppriceguide.com/guide/itmimg/thumb/7549_ateamvanwbabaracus_1466043262.jpg,Released 2016
38,Howling Mad Murdock,The A-Team,9,Pop! Vinyl Pop! Television,1,$9.00,374,https://cdn.poppriceguide.com/guide/itmimg/thumb/7551_howlingmadmurdock_1466044524.jpg,Released 2016
39,B.A. Baracus,The A-Team,9,Pop! Vinyl Pop! Television,1,$7.00,372,https://cdn.poppriceguide.com/guide/itmimg/thumb/7552_babaracus_1466044673.jpg,Released 2016
40,John Hannibal Smith,The A-Team,9,Pop! Vinyl Pop! Television,1,$7.00,371,https://cdn.poppriceguide.com/guide/itmimg/thumb/7550_johnhannibalsmith_1466044404.jpg,Released 2016
41,Templeton Faceman Peck,The A-Team,9,Pop! Vinyl Pop! Television,1,$7.00,373,https://cdn.poppriceguide.com/guide/itmimg/thumb/7553_templetonfacemanpeck_1466044789.jpg,Released 2016
42,Ickis,Aaahh!!! Real Monsters,10,Pop! Vinyl Pop! Animation,28,$8.00,222,https://cdn.poppriceguide.com/guide/itmimg/thumb/10198_ickis_1491500226.jpg,Released 2017
43,Krumm,Aaahh!!! Real Monsters,10,Pop! Vinyl Pop! Animation,28,$8.00,224,https://cdn.poppriceguide.com/guide/itmimg/thumb/10200_krumm_1491500576.jpg,Released 2017
44,Oblina,Aaahh!!! Real Monsters,10,Pop! Vinyl Pop! Animation,28,$8.00,223,https://cdn.poppriceguide.com/guide/itmimg/thumb/10199_oblina_1491500432.jpg,Released 2017
