franchise_id,name,image_url
74,Build-A-Bear,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
75,Burger King,https://cdn.poppriceguide.com/guide/charimg/BurgerKing.jpg
76,Call of Duty,https://cdn.poppriceguide.com/guide/charimg/CallofDuty.jpg
77,Captain Underpants,https://cdn.poppriceguide.com/guide/charimg/CaptainUnderpants.jpg
78,Carrie,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
79,Cars,https://cdn.poppriceguide.com/guide/charimg/Cars.jpg
80,Catdog,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
81,Celebrities,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
82,Chase Pieces,https://cdn.poppriceguide.com/guide/charimg/ChasePieces.jpg
83,Childs Play,https://cdn.poppriceguide.com/guide/charimg/Child-s Play.jpg
84,Childrens Hospital,https://cdn.poppriceguide.com/guide/charimg/ChildrensHospital.jpg
85,Chuck Norris,https://cdn.poppriceguide.com/guide/charimg/ChuckNorris.jpg
86,Cinderella,https://cdn.poppriceguide.com/guide/charimg/Cinderella.jpg
87,Clash of the Titans,https://cdn.poppriceguide.com/guide/charimg/ClashoftheTitans.jpg
88,Clockwork Orange,https://cdn.poppriceguide.com/guide/charimg/Clockwork-Orange.jpg
89,Clueless,https://cdn.poppriceguide.com/guide/charimg/Clueless.jpg
90,Coca-Cola,https://cdn.poppriceguide.com/guide/charimg/CocaCola.jpg
91,Comic Book Men,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
92,Conan OBrien,https://cdn.poppriceguide.com/guide/charimg/ConanOBrien.jpg
93,Conan the Barbarian,https://cdn.poppriceguide.com/guide/charimg/ConantheBarbarian.jpg
94,Cos FanX,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
95,Cowboy Bebop,https://cdn.poppriceguide.com/guide/charimg/CowboyBebop.jpg
96,Crimson Peak,https://cdn.poppriceguide.com/guide/charimg/CrimsonPeak.jpg
97,The Crow,https://cdn.poppriceguide.com/guide/charimg/The-Crow.jpg
98,The Dark Crystal,https://cdn.poppriceguide.com/guide/charimg/TheDarkCrystal.jpg
99,Dark Souls,https://cdn.poppriceguide.com/guide/charimg/DarkSouls.jpg
100,The Dark Tower,https://cdn.poppriceguide.com/guide/charimg/TheDarkTower.jpg
101,Darkwing Duck,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
102,The Day the Earth Stood Still,https://cdn.poppriceguide.com/guide/charimg/TheDaytheEarthStoodStill.jpg
103,DC Comics,https://cdn.poppriceguide.com/guide/charimg/DCComics.jpg
104,Deadpool,https://cdn.poppriceguide.com/guide/charimg/Deadpool.jpg
105,Death Note,https://cdn.poppriceguide.com/guide/charimg/DeathNote.jpg
106,Descendants,https://cdn.poppriceguide.com/guide/charimg/Descendants.jpg
107,Despicable Me / Minions,https://cdn.poppriceguide.com/guide/charimg/DespicableMe.jpg
108,Destiny,https://cdn.poppriceguide.com/guide/charimg/Destiny.jpg
109,Diablo,https://cdn.poppriceguide.com/guide/charimg/Diablo.jpg
110,Diary of a Wimpy Kid,https://cdn.poppriceguide.com/guide/charimg/DiaryofaWimpyKid.jpg
111,Dig Dug,https://cdn.poppriceguide.com/guide/charimg/DigDug.jpg
112,Dishonored,https://cdn.poppriceguide.com/guide/charimg/Dishonored.jpg
113,Disney,https://cdn.poppriceguide.com/guide/charimg/Disney.jpg
114,Doctor Who,https://cdn.poppriceguide.com/guide/charimg/DoctorWho.jpg
115,Dodgeball,https://cdn.poppriceguide.com/guide/charimg/Dodgeball.jpg
116,Domo,https://cdn.poppriceguide.com/guide/charimg/Domo.jpg
117,Donnie Darko,https://cdn.poppriceguide.com/guide/charimg/DonnieDarko.jpg
118,Doom,https://cdn.poppriceguide.com/guide/charimg/Doom.jpg
119,Dr. Seuss,https://cdn.poppriceguide.com/guide/charimg/DrSeuss.jpg
120,Dragonball,https://cdn.poppriceguide.com/guide/charimg/DragonballZ.jpg
121,Duck Dodgers,https://cdn.poppriceguide.com/guide/charimg/DuckDodgers.jpg
122,Duck Dynasty,https://cdn.poppriceguide.com/guide/charimg/DuckDynasty.jpg
123,DuckTales,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
124,Dumb and Dumber,https://cdn.poppriceguide.com/guide/charimg/DumbandDumber.jpg
125,Dumbo,https://cdn.poppriceguide.com/guide/charimg/Dumbo.jpg
126,E.T. The Extra Terrestrial,https://cdn.poppriceguide.com/guide/charimg/E-T--The-Extra-Terrestrial.jpg
127,ECCC,https://cdn.poppriceguide.com/guide/charimg/ECCC.jpg
128,Ed Roth,https://cdn.poppriceguide.com/guide/charimg/EdRoth.jpg
129,Edward Scissorhands,https://cdn.poppriceguide.com/guide/charimg/EdwardScissorhands.jpg
130,The Elder Scrolls,https://cdn.poppriceguide.com/guide/charimg/TheElderScrolls.jpg
131,Elena of Avalor,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
132,Elf,https://cdn.poppriceguide.com/guide/charimg/Elf.jpg
133,The Elf on the Shelf,https://cdn.poppriceguide.com/guide/charimg/TheElfontheShelf.jpg
134,Elvira Mistress of the Dark,https://cdn.poppriceguide.com/guide/charimg/ElviraMistressoftheDark.jpg
135,Enders Game,https://cdn.poppriceguide.com/guide/charimg/EndersGame.jpg
136,Escape From New York,https://cdn.poppriceguide.com/guide/charimg/Escape From New York.jpg
137,Evil Dead,https://cdn.poppriceguide.com/guide/charimg/EvilDead.jpg
138,Evolve,https://cdn.poppriceguide.com/guide/charimg/Evolve.jpg
139,The Exorcist,https://cdn.poppriceguide.com/guide/charimg/TheExorcist.jpg
140,Fairy Tail,https://cdn.poppriceguide.com/guide/charimg/FairyTail.jpg
141,Faithboy,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
142,Fallout,https://cdn.poppriceguide.com/guide/charimg/Fallout.jpg
143,Family Guy,https://cdn.poppriceguide.com/guide/charimg/FamilyGuy.jpg
144,Fantastic Beasts,https://cdn.poppriceguide.com/guide/charimg/FantasticBeasts.jpg
145,Fantastic Mr. Fox,https://cdn.poppriceguide.com/guide/charimg/Fantastic Mr- Fox.jpg
146,Fast & Furious,https://cdn.poppriceguide.com/guide/charimg/FastFurious.jpg
147,Fast Times at Ridgemont High,https://cdn.poppriceguide.com/guide/charimg/FastTimesatRidgemontHigh.jpg
148,Ferris Buellers Day Off,https://cdn.poppriceguide.com/guide/charimg/FerrisBuellersDayOff.jpg
149,The Fifth Element,https://cdn.poppriceguide.com/guide/charimg/TheFifthElement.jpg
150,Fight Club,https://cdn.poppriceguide.com/guide/charimg/FightClub.jpg
151,Finding Nemo,https://cdn.poppriceguide.com/guide/charimg/FindingNemo.jpg
152,Firefly,https://cdn.poppriceguide.com/guide/charimg/Firefly.jpg
153,Five Nights at Freddys,https://cdn.poppriceguide.com/guide/charimg/FiveNightsatFreddys.jpg
154,The Flash,https://cdn.poppriceguide.com/guide/charimg/TheFlash.jpg
155,Flash Gordon,https://cdn.poppriceguide.com/guide/charimg/FlashGordon.jpg
156,The Flintstones,https://cdn.poppriceguide.com/guide/charimg/TheFlintstones.jpg
157,The Fly,https://cdn.poppriceguide.com/guide/charimg/TheFly.jpg
158,FOOT: Phantom of the Forest,https://cdn.poppriceguide.com/guide/charimg/FOOTPhantomoftheForest.jpg
159,Forbidden Planet,https://cdn.poppriceguide.com/guide/charimg/ForbiddenPlanet.jpg
160,Fosters Home for Imaginary Friends,https://cdn.poppriceguide.com/guide/charimg/FostersHomeforImaginaryFriends.jpg
161,Freddy Funko,https://cdn.poppriceguide.com/guide/charimg/FreddyFunko.jpg
162,FreightCo Logistics,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
163,Friday the 13th,https://cdn.poppriceguide.com/guide/charimg/Friday the 13th.jpg
164,Friends,https://cdn.poppriceguide.com/guide/charimg/Friends.jpg
165,Frozen,https://cdn.poppriceguide.com/guide/charimg/Frozen.jpg
166,Funko,https://cdn.poppriceguide.com/guide/charimg/Funko.jpg
167,Funny Face,https://cdn.poppriceguide.com/guide/charimg/FunnyFace.jpg
168,Futurama,https://cdn.poppriceguide.com/guide/charimg/Futurama.jpg
169,G.I. Joe,https://cdn.poppriceguide.com/guide/charimg/GIJoe.jpg
170,Galaxy Quest,https://cdn.poppriceguide.com/guide/charimg/GalaxyQuest.jpg
171,Game of Thrones,https://cdn.poppriceguide.com/guide/charimg/GameofThrones.jpg
172,Garbage Pail Kids,https://cdn.poppriceguide.com/guide/charimg/GarbagePailKids.jpg
173,Gears of War,https://cdn.poppriceguide.com/guide/charimg/GearsofWar.jpg
174,General Mills,https://cdn.poppriceguide.com/guide/charimg/General Mills.jpg
175,Ghost in the Shell,https://cdn.poppriceguide.com/guide/charimg/GhostintheShell.jpg
176,Ghostbusters,https://cdn.poppriceguide.com/guide/charimg/Ghostbusters.jpg
177,Gigantor,https://cdn.poppriceguide.com/guide/charimg/Gigantor.jpg
178,Gilmore Girls,https://cdn.poppriceguide.com/guide/charimg/GilmoreGirls.jpg
179,God of War,https://cdn.poppriceguide.com/guide/charimg/GodofWar.jpg
180,The Godfather,https://cdn.poppriceguide.com/guide/charimg/TheGodfather.jpg
181,Godzilla,https://cdn.poppriceguide.com/guide/charimg/Godzilla.jpg
182,Golden Girls,https://cdn.poppriceguide.com/guide/charimg/GoldenGirls.jpg
183,The Good Dinosaur,https://cdn.poppriceguide.com/guide/charimg/TheGoodDinosaur.jpg
184,The Goonies,https://cdn.poppriceguide.com/guide/charimg/TheGoonies.jpg
185,Gortons,https://cdn.poppriceguide.com/guide/charimg/Gortons.jpg
186,Gotham,https://cdn.poppriceguide.com/guide/charimg/Gotham.jpg
187,Gravity Falls,https://cdn.poppriceguide.com/guide/charimg/GravityFalls.jpg
188,Gremlins,https://cdn.poppriceguide.com/guide/charimg/Gremlins.jpg
189,Guardians of the Galaxy,https://cdn.poppriceguide.com/guide/charimg/GuardiansoftheGalaxy.jpg
190,H.P. Lovecraft,https://cdn.poppriceguide.com/guide/charimg/H-P--Lovecraft.jpg
191,H.R. Pufnstuf,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
192,Halloween,https://cdn.poppriceguide.com/guide/charimg/Halloween.jpg
193,Halo,https://cdn.poppriceguide.com/guide/charimg/Halo.jpg
194,The Hangover,https://cdn.poppriceguide.com/guide/charimg/TheHangover.jpg
195,Hanna Barbera,https://cdn.poppriceguide.com/guide/charimg/HannaBarbera.jpg
196,Hannibal,https://cdn.poppriceguide.com/guide/charimg/Hannibal.jpg
197,Happy Tree Friends,https://cdn.poppriceguide.com/guide/charimg/HappyTreeFriends.jpg
198,Harry Potter,https://cdn.poppriceguide.com/guide/charimg/HarryPotter.jpg
199,The Hateful Eight,https://cdn.poppriceguide.com/guide/charimg/TheHatefulEight.jpg
200,Hellboy,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
201,Hellraiser,https://cdn.poppriceguide.com/guide/charimg/Hellraiser.jpg
202,Help!...Its the Hair Bear Bunch,https://cdn.poppriceguide.com/guide/charimg/HelpItstheHairBearBunch.jpg
203,Hercules,https://cdn.poppriceguide.com/guide/charimg/Hercules.jpg
204,The Hobbit,https://cdn.poppriceguide.com/guide/charimg/TheHobbit.jpg
205,Home Alone,https://cdn.poppriceguide.com/guide/charimg/noimage.jpg
206,Hot Fuzz,https://cdn.poppriceguide.com/guide/charimg/HotFuzz.jpg
207,House of 1000 Corpses,https://cdn.poppriceguide.com/guide/charimg/House of 1000 Corpses.jpg
208,How I Met Your Mother,https://cdn.poppriceguide.com/guide/charimg/HowIMetYourMother.jpg
209,How the Grinch Stole Christmas,https://cdn.poppriceguide.com/guide/charimg/HowtheGrinchStoleChristmas.jpg
210,How to Train Your Dragon,https://cdn.poppriceguide.com/guide/charimg/HowtoTrainYourDragon.jpg
211,The Hunger Games,https://cdn.poppriceguide.com/guide/charimg/TheHungerGames.jpg
212,Igor,https://cdn.poppriceguide.com/guide/charimg/Igor.jpg
213,The Incredibles,https://cdn.poppriceguide.com/guide/charimg/TheIncredibles.jpg
214,Independence Day,https://cdn.poppriceguide.com/guide/charimg/IndependenceDay.jpg
215,Indiana Jones,https://cdn.poppriceguide.com/guide/charimg/IndianaJones.jpg
216,Inside Out,https://cdn.poppriceguide.com/guide/charimg/InsideOut.jpg
217,Invader Zim,https://cdn.poppriceguide.com/guide/charimg/InvaderZim.jpg
218,The Iron Giant,https://cdn.poppriceguide.com/guide/charimg/TheIronGiant.jpg
219,IT,https://cdn.poppriceguide.com/guide/charimg/IT.jpg
220,iZombie,https://cdn.poppriceguide.com/guide/charimg/iZombie.jpg
